Freq.	V(vout)
1.00000000000000e+006	(3.35139431354644e-002dB,-9.92584597350895e+000°)
1.00230523807790e+006	(3.36779327413928e-002dB,-9.94887844518956e+000°)
1.00461579027840e+006	(3.38426614254294e-002dB,-9.97196505352798e+000°)
1.00693166885180e+006	(3.40081324334273e-002dB,-9.99510593047471e+000°)
1.00925288607668e+006	(3.41743490245888e-002dB,-1.00183012083332e+001°)
1.01157945425990e+006	(3.43413144717012e-002dB,-1.00415510197610e+001°)
1.01391138573668e+006	(3.45090320610843e-002dB,-1.00648554977711e+001°)
1.01624869287070e+006	(3.46775050925829e-002dB,-1.00882147757326e+001°)
1.01859138805412e+006	(3.48467368797351e-002dB,-1.01116289873726e+001°)
1.02093948370768e+006	(3.50167307497757e-002dB,-1.01350982667766e+001°)
1.02329299228075e+006	(3.51874900436115e-002dB,-1.01586227483901e+001°)
1.02565192625141e+006	(3.53590181159848e-002dB,-1.01822025670198e+001°)
1.02801629812647e+006	(3.55313183354472e-002dB,-1.02058378578346e+001°)
1.03038612044162e+006	(3.57043940844160e-002dB,-1.02295287563668e+001°)
1.03276140576140e+006	(3.58782487592813e-002dB,-1.02532753985134e+001°)
1.03514216667934e+006	(3.60528857703670e-002dB,-1.02770779205371e+001°)
1.03752841581801e+006	(3.62283085420089e-002dB,-1.03009364590678e+001°)
1.03992016582906e+006	(3.64045205126711e-002dB,-1.03248511511035e+001°)
1.04231742939330e+006	(3.65815251349091e-002dB,-1.03488221340117e+001°)
1.04472021922080e+006	(3.67593258754222e-002dB,-1.03728495455305e+001°)
1.04712854805090e+006	(3.69379262151799e-002dB,-1.03969335237699e+001°)
1.04954242865232e+006	(3.71173296493884e-002dB,-1.04210742072129e+001°)
1.05196187382322e+006	(3.72975396875796e-002dB,-1.04452717347169e+001°)
1.05438689639126e+006	(3.74785598536759e-002dB,-1.04695262455147e+001°)
1.05681750921366e+006	(3.76603936859525e-002dB,-1.04938378792162e+001°)
1.05925372517729e+006	(3.78430447372458e-002dB,-1.05182067758090e+001°)
1.06169555719872e+006	(3.80265165748121e-002dB,-1.05426330756601e+001°)
1.06414301822431e+006	(3.82108127805416e-002dB,-1.05671169195170e+001°)
1.06659612123026e+006	(3.83959369509227e-002dB,-1.05916584485092e+001°)
1.06905487922266e+006	(3.85818926970621e-002dB,-1.06162578041489e+001°)
1.07151930523760e+006	(3.87686836448386e-002dB,-1.06409151283328e+001°)
1.07398941234124e+006	(3.89563134348797e-002dB,-1.06656305633433e+001°)
1.07646521362983e+006	(3.91447857226285e-002dB,-1.06904042518496e+001°)
1.07894672222983e+006	(3.93341041783679e-002dB,-1.07152363369091e+001°)
1.08143395129794e+006	(3.95242724872919e-002dB,-1.07401269619685e+001°)
1.08392691402120e+006	(3.97152943496311e-002dB,-1.07650762708655e+001°)
1.08642562361706e+006	(3.99071734805126e-002dB,-1.07900844078297e+001°)
1.08893009333343e+006	(4.00999136102394e-002dB,-1.08151515174843e+001°)
1.09144033644875e+006	(4.02935184841538e-002dB,-1.08402777448468e+001°)
1.09395636627209e+006	(4.04879918627937e-002dB,-1.08654632353311e+001°)
