Freq.	V(vout)
1.00000000000000e+000	(-1.91051972765979e-003dB,-3.24650165658417e-004°)
1.00230523807790e+000	(-1.91051896223974e-003dB,-3.25398561625838e-004°)
1.00461579027840e+000	(-1.91051819328080e-003dB,-3.26148682794382e-004°)
1.00693166885180e+000	(-1.91051742079550e-003dB,-3.26900533180799e-004°)
1.00925288607668e+000	(-1.91051664474334e-003dB,-3.27654116759734e-004°)
1.01157945425990e+000	(-1.91051586510405e-003dB,-3.28409437533248e-004°)
1.01391138573668e+000	(-1.91051508184678e-003dB,-3.29166499454556e-004°)
1.01624869287070e+000	(-1.91051429499177e-003dB,-3.29925306618255e-004°)
1.01859138805412e+000	(-1.91051350448501e-003dB,-3.30685863056999e-004°)
1.02093948370768e+000	(-1.91051271036702e-003dB,-3.31448172722033e-004°)
1.02329299228075e+000	(-1.91051191255002e-003dB,-3.32212239686525e-004°)
1.02565192625141e+000	(-1.91051111106970e-003dB,-3.32978068033185e-004°)
1.02801629812647e+000	(-1.91051030587011e-003dB,-3.33745661771645e-004°)
1.03038612044162e+000	(-1.91050949700335e-003dB,-3.34515024977873e-004°)
1.03276140576140e+000	(-1.91050868435848e-003dB,-3.35286161776684e-004°)
1.03514216667934e+000	(-1.91050786797216e-003dB,-3.36059076250408e-004°)
1.03752841581801e+000	(-1.91050704780485e-003dB,-3.36833772429352e-004°)
1.03992016582906e+000	(-1.91050622386426e-003dB,-3.37610254493155e-004°)
1.04231742939330e+000	(-1.91050539611663e-003dB,-3.38388526548381e-004°)
1.04472021922080e+000	(-1.91050456453400e-003dB,-3.39168592698034e-004°)
1.04712854805090e+000	(-1.91050372916361e-003dB,-3.39950457027247e-004°)
1.04954242865232e+000	(-1.91050288989745e-003dB,-3.40734123796689e-004°)
1.05196187382322e+000	(-1.91050204678278e-003dB,-3.41519597104215e-004°)
1.05438689639126e+000	(-1.91050119973761e-003dB,-3.42306881151729e-004°)
