LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2016 17:01:28,0                 
Time,Ampl
-2.5000245e-005,0.248333
-2.4999745e-005,0.255
-2.4999245e-005,0.248333
-2.4998745e-005,0.255
-2.4998245e-005,0.261667
-2.4997745e-005,0.268333
-2.4997245e-005,0.268333
-2.4996745e-005,0.268333
-2.4996245e-005,0.295
-2.4995745e-005,0.301667
-2.4995245e-005,0.295
-2.4994745e-005,0.295
-2.4994245e-005,0.281667
-2.4993745e-005,0.295
-2.4993245e-005,0.275
-2.4992745e-005,0.275
-2.4992245e-005,0.275
-2.4991745e-005,0.275
-2.4991245e-005,0.268333
-2.4990745e-005,0.255
-2.4990245e-005,0.241667
-2.4989745e-005,0.261667
-2.4989245e-005,0.248333
-2.4988745e-005,0.255
-2.4988245e-005,0.255
-2.4987745e-005,0.268333
-2.4987245e-005,0.275
-2.4986745e-005,0.275
-2.4986245e-005,0.281667
-2.4985745e-005,0.301667
-2.4985245e-005,0.295
-2.4984745e-005,0.295
-2.4984245e-005,0.281667
-2.4983745e-005,0.295
-2.4983245e-005,0.281667
-2.4982745e-005,0.281667
-2.4982245e-005,0.281667
-2.4981745e-005,0.275
-2.4981245e-005,0.268333
-2.4980745e-005,0.255
-2.4980245e-005,0.241667
-2.4979745e-005,0.255
-2.4979245e-005,0.248333
-2.4978745e-005,0.248333
-2.4978245e-005,0.255
-2.4977745e-005,0.255
-2.4977245e-005,0.268333
-2.4976745e-005,0.268333
-2.4976245e-005,0.275
-2.4975745e-005,0.295
-2.4975245e-005,0.301667
-2.4974745e-005,0.295
-2.4974245e-005,0.288333
-2.4973745e-005,0.288333
-2.4973245e-005,0.288333
-2.4972745e-005,0.275
-2.4972245e-005,0.281667
-2.4971745e-005,0.275
-2.4971245e-005,0.268333
-2.4970745e-005,0.268333
-2.4970245e-005,0.241667
-2.4969745e-005,0.255
-2.4969245e-005,0.255
-2.4968745e-005,0.248333
-2.4968245e-005,0.255
-2.4967745e-005,0.255
-2.4967245e-005,0.268333
-2.4966745e-005,0.275
-2.4966245e-005,0.275
-2.4965745e-005,0.295
-2.4965245e-005,0.301667
-2.4964745e-005,0.301667
-2.4964245e-005,0.295
-2.4963745e-005,0.288333
-2.4963245e-005,0.301667
-2.4962745e-005,0.281667
-2.4962245e-005,0.281667
-2.4961745e-005,0.281667
-2.4961245e-005,0.268333
-2.4960745e-005,0.275
-2.4960245e-005,0.248333
-2.4959745e-005,0.248333
-2.4959245e-005,0.255
-2.4958745e-005,0.248333
-2.4958245e-005,0.248333
-2.4957745e-005,0.255
-2.4957245e-005,0.268333
-2.4956745e-005,0.275
-2.4956245e-005,0.268333
-2.4955745e-005,0.288333
-2.4955245e-005,0.301667
-2.4954745e-005,0.295
-2.4954245e-005,0.301667
-2.4953745e-005,0.288333
-2.4953245e-005,0.301667
-2.4952745e-005,0.281667
-2.4952245e-005,0.275
-2.4951745e-005,0.281667
-2.4951245e-005,0.268333
-2.4950745e-005,0.275
-2.4950245e-005,0.255
-2.4949745e-005,0.241667
-2.4949245e-005,0.255
-2.4948745e-005,0.248333
-2.4948245e-005,0.248333
-2.4947745e-005,0.255
-2.4947245e-005,0.261667
-2.4946745e-005,0.275
-2.4946245e-005,0.268333
-2.4945745e-005,0.281667
-2.4945245e-005,0.295
-2.4944745e-005,0.301667
-2.4944245e-005,0.295
-2.4943745e-005,0.295
-2.4943245e-005,0.295
-2.4942745e-005,0.295
-2.4942245e-005,0.275
-2.4941745e-005,0.281667
-2.4941245e-005,0.268333
-2.4940745e-005,0.268333
-2.4940245e-005,0.255
-2.4939745e-005,0.235
-2.4939245e-005,0.248333
-2.4938745e-005,0.255
-2.4938245e-005,0.248333
-2.4937745e-005,0.255
-2.4937245e-005,0.255
-2.4936745e-005,0.268333
-2.4936245e-005,0.268333
-2.4935745e-005,0.275
-2.4935245e-005,0.288333
-2.4934745e-005,0.295
-2.4934245e-005,0.295
-2.4933745e-005,0.288333
-2.4933245e-005,0.288333
-2.4932745e-005,0.295
