LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,29-Nov-2016 16:36:52,0                 
Time,Ampl
-2.500029e-005,0.0042
-2.499979e-005,0.00386667
-2.499929e-005,0.00553333
-2.499879e-005,0.00353333
-2.499829e-005,0.00486667
-2.499779e-005,0.00553333
-2.499729e-005,0.00386667
-2.499679e-005,0.00586667
-2.499629e-005,0.00553333
-2.499579e-005,0.00286667
-2.499529e-005,0.0062
-2.499479e-005,0.00453333
-2.499429e-005,0.00386667
-2.499379e-005,0.00653333
-2.499329e-005,0.0042
-2.499279e-005,0.0052
-2.499229e-005,0.0062
-2.499179e-005,0.00386667
-2.499129e-005,0.00586667
-2.499079e-005,0.00553333
-2.499029e-005,0.0042
-2.498979e-005,0.0062
-2.498929e-005,0.0052
-2.498879e-005,0.00453333
-2.498829e-005,0.00586667
-2.498779e-005,0.00453333
-2.498729e-005,0.00386667
-2.498679e-005,0.00586667
-2.498629e-005,0.0042
-2.498579e-005,0.00453333
-2.498529e-005,0.0062
-2.498479e-005,0.00386667
-2.498429e-005,0.0052
-2.498379e-005,0.00586667
-2.498329e-005,0.00386667
-2.498279e-005,0.00586667
-2.498229e-005,0.0052
-2.498179e-005,0.0032
-2.498129e-005,0.0062
-2.498079e-005,0.00453333
-2.498029e-005,0.00386667
-2.497979e-005,0.00653333
-2.497929e-005,0.00386667
-2.497879e-005,0.00453333
-2.497829e-005,0.00586667
-2.497779e-005,0.00353333
-2.497729e-005,0.0052
-2.497679e-005,0.00553333
-2.497629e-005,0.0042
-2.497579e-005,0.00553333
-2.497529e-005,0.00486667
-2.497479e-005,0.00386667
-2.497429e-005,0.00586667
-2.497379e-005,0.0052
-2.497329e-005,0.00386667
-2.497279e-005,0.0062
-2.497229e-005,0.00453333
-2.497179e-005,0.00453333
-2.497129e-005,0.00653333
-2.497079e-005,0.00386667
-2.497029e-005,0.0052
-2.496979e-005,0.00586667
-2.496929e-005,0.00353333
-2.496879e-005,0.00586667
-2.496829e-005,0.0052
-2.496779e-005,0.00353333
-2.496729e-005,0.0062
-2.496679e-005,0.00486667
-2.496629e-005,0.00486667
-2.496579e-005,0.0062
-2.496529e-005,0.00453333
-2.496479e-005,0.0052
-2.496429e-005,0.00553333
-2.496379e-005,0.00386667
-2.496329e-005,0.0052
-2.496279e-005,0.00586667
-2.496229e-005,0.00386667
-2.496179e-005,0.00553333
-2.496129e-005,0.00486667
-2.496079e-005,0.00353333
-2.496029e-005,0.00586667
-2.495979e-005,0.0052
-2.495929e-005,0.0042
-2.495879e-005,0.00653333
-2.495829e-005,0.0042
-2.495779e-005,0.00486667
-2.495729e-005,0.0062
-2.495679e-005,0.00353333
-2.495629e-005,0.00586667
-2.495579e-005,0.00553333
-2.495529e-005,0.00286667
-2.495479e-005,0.00553333
-2.495429e-005,0.00486667
-2.495379e-005,0.00353333
-2.495329e-005,0.0062
-2.495279e-005,0.00453333
-2.495229e-005,0.00453333
-2.495179e-005,0.0062
-2.495129e-005,0.0042
-2.495079e-005,0.0052
-2.495029e-005,0.00586667
-2.494979e-005,0.00386667
-2.494929e-005,0.0052
-2.494879e-005,0.0052
-2.494829e-005,0.00353333
-2.494779e-005,0.00586667
-2.494729e-005,0.0052
-2.494679e-005,0.00353333
-2.494629e-005,0.00653333
-2.494579e-005,0.0052
-2.494529e-005,0.00453333
-2.494479e-005,0.00653333
-2.494429e-005,0.00386667
-2.494379e-005,0.00486667
-2.494329e-005,0.00586667
-2.494279e-005,0.0032
-2.494229e-005,0.0052
-2.494179e-005,0.00486667
-2.494129e-005,0.00353333
-2.494079e-005,0.0052
-2.494029e-005,0.00486667
-2.493979e-005,0.00386667
-2.493929e-005,0.00586667
-2.493879e-005,0.00453333
-2.493829e-005,0.0042
-2.493779e-005,0.0062
-2.493729e-005,0.0042
-2.493679e-005,0.00453333
-2.493629e-005,0.0062
-2.493579e-005,0.00386667
-2.493529e-005,0.0052
-2.493479e-005,0.00586667
-2.493429e-005,0.00386667
-2.493379e-005,0.00586667
-2.493329e-005,0.00553333
-2.493279e-005,0.00353333
-2.493229e-005,0.00653333
-2.493179e-005,0.00486667
-2.493129e-005,0.00453333
-2.493079e-005,0.00653333
-2.493029e-005,0.00453333
-2.492979e-005,0.00486667
-2.492929e-005,0.00586667
-2.492879e-005,0.00386667
-2.492829e-005,0.0052
-2.492779e-005,0.00586667
-2.492729e-005,0.00386667
-2.492679e-005,0.0052
-2.492629e-005,0.00486667
-2.492579e-005,0.0042
-2.492529e-005,0.0062
-2.492479e-005,0.00486667
-2.492429e-005,0.00453333
-2.492379e-005,0.0072
-2.492329e-005,0.00453333
-2.492279e-005,0.0052
-2.492229e-005,0.00653333
-2.492179e-005,0.00353333
-2.492129e-005,0.00586667
-2.492079e-005,0.00586667
-2.492029e-005,0.00386667
-2.491979e-005,0.0062
-2.491929e-005,0.00486667
-2.491879e-005,0.00386667
-2.491829e-005,0.00586667
-2.491779e-005,0.00486667
-2.491729e-005,0.00453333
-2.491679e-005,0.0062
-2.491629e-005,0.00453333
-2.491579e-005,0.00486667
-2.491529e-005,0.00586667
-2.491479e-005,0.0042
-2.491429e-005,0.0052
-2.491379e-005,0.0062
-2.491329e-005,0.00386667
-2.491279e-005,0.0062
-2.491229e-005,0.00553333
-2.491179e-005,0.00453333
-2.491129e-005,0.00686667
-2.491079e-005,0.00486667
-2.491029e-005,0.00453333
-2.490979e-005,0.00686667
-2.490929e-005,0.0042
-2.490879e-005,0.0052
-2.490829e-005,0.00553333
-2.490779e-005,0.0032
-2.490729e-005,0.00553333
-2.490679e-005,0.0052
-2.490629e-005,0.00353333
-2.490579e-005,0.00586667
-2.490529e-005,0.00486667
-2.490479e-005,0.00453333
-2.490429e-005,0.00586667
-2.490379e-005,0.00486667
-2.490329e-005,0.00486667
-2.490279e-005,0.00653333
-2.490229e-005,0.00453333
-2.490179e-005,0.0052
-2.490129e-005,0.0062
-2.490079e-005,0.0042
-2.490029e-005,0.0052
-2.489979e-005,0.00653333
-2.489929e-005,0.0042
-2.489879e-005,0.00653333
-2.489829e-005,0.00586667
-2.489779e-005,0.00386667
-2.489729e-005,0.00653333
-2.489679e-005,0.00486667
-2.489629e-005,0.00486667
-2.489579e-005,0.00653333
-2.489529e-005,0.00453333
-2.489479e-005,0.00553333
-2.489429e-005,0.0062
-2.489379e-005,0.0042
-2.489329e-005,0.00586667
-2.489279e-005,0.0062
-2.489229e-005,0.0042
-2.489179e-005,0.0062
-2.489129e-005,0.00553333
-2.489079e-005,0.0042
-2.489029e-005,0.00553333
-2.488979e-005,0.00453333
-2.488929e-005,0.00453333
-2.488879e-005,0.0062
-2.488829e-005,0.00453333
-2.488779e-005,0.00586667
-2.488729e-005,0.00653333
-2.488679e-005,0.00453333
-2.488629e-005,0.00553333
-2.488579e-005,0.00586667
-2.488529e-005,0.00386667
-2.488479e-005,0.00653333
-2.488429e-005,0.0052
-2.488379e-005,0.00453333
-2.488329e-005,0.0062
-2.488279e-005,0.00453333
-2.488229e-005,0.00453333
-2.488179e-005,0.0062
-2.488129e-005,0.0042
-2.488079e-005,0.0052
-2.488029e-005,0.00586667
-2.487979e-005,0.00453333
-2.487929e-005,0.00553333
-2.487879e-005,0.00586667
-2.487829e-005,0.00386667
-2.487779e-005,0.00553333
-2.487729e-005,0.0052
-2.487679e-005,0.00453333
-2.487629e-005,0.00653333
-2.487579e-005,0.00486667
-2.487529e-005,0.00453333
-2.487479e-005,0.00686667
-2.487429e-005,0.0042
-2.487379e-005,0.00553333
-2.487329e-005,0.0062
-2.487279e-005,0.00386667
-2.487229e-005,0.00586667
-2.487179e-005,0.00553333
-2.487129e-005,0.00353333
-2.487079e-005,0.00586667
-2.487029e-005,0.0052
-2.486979e-005,0.00386667
-2.486929e-005,0.0062
-2.486879e-005,0.00453333
-2.486829e-005,0.0042
