LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2016 16:28:51,0                 
Time,Ampl
-5.000245e-006,-0.0066
-4.999745e-006,-0.00726667
-4.999245e-006,-0.0066
-4.998745e-006,-0.00693333
-4.998245e-006,-0.00626667
-4.997745e-006,-0.0076
-4.997245e-006,-0.00693333
-4.996745e-006,-0.00693333
-4.996245e-006,-0.00626667
-4.995745e-006,-0.00693333
-4.995245e-006,-0.0066
-4.994745e-006,-0.00626667
-4.994245e-006,-0.00626667
-4.993745e-006,-0.00693333
-4.993245e-006,-0.0066
-4.992745e-006,-0.0066
-4.992245e-006,-0.0066
-4.991745e-006,-0.00693333
-4.991245e-006,-0.00726667
-4.990745e-006,-0.0066
-4.990245e-006,-0.0066
-4.989745e-006,-0.00693333
-4.989245e-006,-0.00693333
-4.988745e-006,-0.0066
-4.988245e-006,-0.00626667
-4.987745e-006,-0.00693333
-4.987245e-006,-0.00693333
-4.986745e-006,-0.0066
-4.986245e-006,-0.0066
-4.985745e-006,-0.0066
-4.985245e-006,-0.0066
-4.984745e-006,-0.0066
-4.984245e-006,-0.00593333
-4.983745e-006,-0.0066
-4.983245e-006,-0.0066
-4.982745e-006,-0.0066
-4.982245e-006,-0.00626667
-4.981745e-006,-0.0066
-4.981245e-006,-0.0066
-4.980745e-006,-0.00693333
-4.980245e-006,-0.0066
-4.979745e-006,-0.0066
-4.979245e-006,-0.00693333
-4.978745e-006,-0.0066
-4.978245e-006,-0.00593333
-4.977745e-006,-0.00693333
-4.977245e-006,-0.0076
-4.976745e-006,-0.00693333
-4.976245e-006,-0.0066
-4.975745e-006,-0.0066
-4.975245e-006,-0.0066
-4.974745e-006,-0.0066
-4.974245e-006,-0.00593333
-4.973745e-006,-0.00626667
-4.973245e-006,-0.00693333
-4.972745e-006,-0.00626667
-4.972245e-006,-0.00593333
-4.971745e-006,-0.00626667
-4.971245e-006,-0.0066
-4.970745e-006,-0.0076
-4.970245e-006,-0.0066
-4.969745e-006,-0.00693333
-4.969245e-006,-0.00726667
-4.968745e-006,-0.00693333
-4.968245e-006,-0.00593333
-4.967745e-006,-0.0066
-4.967245e-006,-0.00693333
-4.966745e-006,-0.00726667
-4.966245e-006,-0.0066
-4.965745e-006,-0.0066
-4.965245e-006,-0.0066
-4.964745e-006,-0.0066
-4.964245e-006,-0.00626667
-4.963745e-006,-0.00626667
-4.963245e-006,-0.00626667
-4.962745e-006,-0.00726667
-4.962245e-006,-0.00626667
-4.961745e-006,-0.0066
-4.961245e-006,-0.0066
-4.960745e-006,-0.0076
-4.960245e-006,-0.0066
-4.959745e-006,-0.0066
-4.959245e-006,-0.0066
-4.958745e-006,-0.00726667
-4.958245e-006,-0.0066
-4.957745e-006,-0.00626667
-4.957245e-006,-0.0066
-4.956745e-006,-0.00726667
-4.956245e-006,-0.00626667
-4.955745e-006,-0.0066
-4.955245e-006,-0.0066
-4.954745e-006,-0.0066
-4.954245e-006,-0.00626667
-4.953745e-006,-0.00626667
-4.953245e-006,-0.00593333
-4.952745e-006,-0.00693333
-4.952245e-006,-0.00593333
-4.951745e-006,-0.00626667
-4.951245e-006,-0.00626667
-4.950745e-006,-0.0076
-4.950245e-006,-0.00626667
-4.949745e-006,-0.00693333
-4.949245e-006,-0.00626667
-4.948745e-006,-0.00726667
-4.948245e-006,-0.00626667
-4.947745e-006,-0.00626667
-4.947245e-006,-0.00593333
-4.946745e-006,-0.00693333
-4.946245e-006,-0.00626667
-4.945745e-006,-0.00626667
-4.945245e-006,-0.00626667
-4.944745e-006,-0.00693333
-4.944245e-006,-0.00626667
-4.943745e-006,-0.00626667
-4.943245e-006,-0.00593333
-4.942745e-006,-0.00693333
-4.942245e-006,-0.00626667
-4.941745e-006,-0.00593333
-4.941245e-006,-0.00626667
-4.940745e-006,-0.0066
-4.940245e-006,-0.0066
-4.939745e-006,-0.00626667
-4.939245e-006,-0.0066
-4.938745e-006,-0.00626667
-4.938245e-006,-0.0066
-4.937745e-006,-0.00626667
-4.937245e-006,-0.00626667
-4.936745e-006,-0.0066
-4.936245e-006,-0.00693333
-4.935745e-006,-0.00626667
-4.935245e-006,-0.0066
-4.934745e-006,-0.00626667
-4.934245e-006,-0.00626667
-4.933745e-006,-0.00626667
-4.933245e-006,-0.0056
-4.932745e-006,-0.00626667
-4.932245e-006,-0.00626667
-4.931745e-006,-0.00593333
-4.931245e-006,-0.00593333
-4.930745e-006,-0.0066
-4.930245e-006,-0.0066
-4.929745e-006,-0.0066
-4.929245e-006,-0.0056
-4.928745e-006,-0.0066
-4.928245e-006,-0.00626667
-4.927745e-006,-0.0066
-4.927245e-006,-0.0056
-4.926745e-006,-0.0066
-4.926245e-006,-0.0066
-4.925745e-006,-0.0066
-4.925245e-006,-0.00593333
-4.924745e-006,-0.0066
-4.924245e-006,-0.00593333
-4.923745e-006,-0.0066
-4.923245e-006,-0.0056
-4.922745e-006,-0.00593333
-4.922245e-006,-0.00626667
-4.921745e-006,-0.00593333
-4.921245e-006,-0.0056
-4.920745e-006,-0.00593333
-4.920245e-006,-0.00693333
-4.919745e-006,-0.00593333
-4.919245e-006,-0.00593333
-4.918745e-006,-0.0056
-4.918245e-006,-0.00626667
-4.917745e-006,-0.00626667
-4.917245e-006,-0.00593333
-4.916745e-006,-0.0056
-4.916245e-006,-0.0066
-4.915745e-006,-0.00593333
-4.915245e-006,-0.0056
-4.914745e-006,-0.00626667
-4.914245e-006,-0.00593333
-4.913745e-006,-0.00626667
-4.913245e-006,-0.0056
-4.912745e-006,-0.0056
-4.912245e-006,-0.0056
-4.911745e-006,-0.00626667
-4.911245e-006,-0.0056
-4.910745e-006,-0.00626667
-4.910245e-006,-0.00593333
-4.909745e-006,-0.00693333
-4.909245e-006,-0.0056
-4.908745e-006,-0.00626667
-4.908245e-006,-0.00593333
-4.907745e-006,-0.0066
-4.907245e-006,-0.0056
-4.906745e-006,-0.0056
-4.906245e-006,-0.00626667
-4.905745e-006,-0.00626667
-4.905245e-006,-0.0056
-4.904745e-006,-0.00593333
-4.904245e-006,-0.0056
-4.903745e-006,-0.00593333
-4.903245e-006,-0.0056
-4.902745e-006,-0.0056
-4.902245e-006,-0.0056
-4.901745e-006,-0.00626667
-4.901245e-006,-0.00526667
-4.900745e-006,-0.00526667
-4.900245e-006,-0.0056
-4.899745e-006,-0.00626667
-4.899245e-006,-0.0056
-4.898745e-006,-0.0056
-4.898245e-006,-0.0056
-4.897745e-006,-0.00626667
-4.897245e-006,-0.0056
-4.896745e-006,-0.00493333
-4.896245e-006,-0.0056
-4.895745e-006,-0.00626667
-4.895245e-006,-0.0056
-4.894745e-006,-0.00526667
-4.894245e-006,-0.0056
-4.893745e-006,-0.0056
-4.893245e-006,-0.00526667
-4.892745e-006,-0.00526667
-4.892245e-006,-0.00526667
-4.891745e-006,-0.00593333
-4.891245e-006,-0.00526667
-4.890745e-006,-0.00526667
-4.890245e-006,-0.00526667
-4.889745e-006,-0.00593333
-4.889245e-006,-0.00593333
-4.888745e-006,-0.0056
-4.888245e-006,-0.00526667
-4.887745e-006,-0.00593333
-4.887245e-006,-0.00526667
-4.886745e-006,-0.00493333
-4.886245e-006,-0.00493333
-4.885745e-006,-0.00593333
-4.885245e-006,-0.00526667
-4.884745e-006,-0.00526667
-4.884245e-006,-0.00526667
-4.883745e-006,-0.00526667
-4.883245e-006,-0.00526667
-4.882745e-006,-0.00526667
-4.882245e-006,-0.00493333
-4.881745e-006,-0.00526667
-4.881245e-006,-0.00526667
-4.880745e-006,-0.00493333
-4.880245e-006,-0.00526667
-4.879745e-006,-0.0056
-4.879245e-006,-0.0056
-4.878745e-006,-0.00526667
-4.878245e-006,-0.00526667
-4.877745e-006,-0.00526667
-4.877245e-006,-0.0056
-4.876745e-006,-0.00526667
-4.876245e-006,-0.00493333
-4.875745e-006,-0.0056
-4.875245e-006,-0.00526667
-4.874745e-006,-0.00493333
-4.874245e-006,-0.00526667
-4.873745e-006,-0.00493333
-4.873245e-006,-0.00526667
-4.872745e-006,-0.00493333
-4.872245e-006,-0.0046
-4.871745e-006,-0.00493333
-4.871245e-006,-0.00526667
-4.870745e-006,-0.00493333
-4.870245e-006,-0.0046
-4.869745e-006,-0.00493333
-4.869245e-006,-0.0056
-4.868745e-006,-0.00493333
-4.868245e-006,-0.00493333
-4.867745e-006,-0.00493333
-4.867245e-006,-0.00526667
-4.866745e-006,-0.00493333
-4.866245e-006,-0.0046
-4.865745e-006,-0.00493333
-4.865245e-006,-0.00526667
-4.864745e-006,-0.00493333
-4.864245e-006,-0.00493333
-4.863745e-006,-0.00493333
-4.863245e-006,-0.00493333
-4.862745e-006,-0.0046
-4.862245e-006,-0.00426667
-4.861745e-006,-0.00426667
-4.861245e-006,-0.00493333
-4.860745e-006,-0.0046
-4.860245e-006,-0.00426667
-4.859745e-006,-0.0046
-4.859245e-006,-0.00493333
-4.858745e-006,-0.00493333
-4.858245e-006,-0.0046
-4.857745e-006,-0.00493333
-4.857245e-006,-0.00493333
-4.856745e-006,-0.00493333
-4.856245e-006,-0.00426667
-4.855745e-006,-0.00493333
-4.855245e-006,-0.00493333
-4.854745e-006,-0.00493333
-4.854245e-006,-0.00426667
-4.853745e-006,-0.0046
-4.853245e-006,-0.0046
-4.852745e-006,-0.0046
-4.852245e-006,-0.0046
-4.851745e-006,-0.00426667
-4.851245e-006,-0.0046
-4.850745e-006,-0.00493333
-4.850245e-006,-0.00393333
-4.849745e-006,-0.00426667
-4.849245e-006,-0.00493333
-4.848745e-006,-0.0046
-4.848245e-006,-0.0046
-4.847745e-006,-0.00426667
-4.847245e-006,-0.0046
-4.846745e-006,-0.0046
-4.846245e-006,-0.00426667
-4.845745e-006,-0.00393333
-4.845245e-006,-0.0046
-4.844745e-006,-0.0046
-4.844245e-006,-0.00426667
-4.843745e-006,-0.00426667
-4.843245e-006,-0.00426667
-4.842745e-006,-0.00426667
-4.842245e-006,-0.00426667
-4.841745e-006,-0.0036
-4.841245e-006,-0.0036
-4.840745e-006,-0.00426667
-4.840245e-006,-0.0036
-4.839745e-006,-0.00426667
-4.839245e-006,-0.00426667
-4.838745e-006,-0.00493333
-4.838245e-006,-0.00426667
-4.837745e-006,-0.0046
-4.837245e-006,-0.00426667
-4.836745e-006,-0.0046
-4.836245e-006,-0.00393333
-4.835745e-006,-0.00393333
-4.835245e-006,-0.00393333
-4.834745e-006,-0.00493333
-4.834245e-006,-0.00393333
-4.833745e-006,-0.00393333
-4.833245e-006,-0.00393333
-4.832745e-006,-0.00393333
-4.832245e-006,-0.00393333
-4.831745e-006,-0.0036
-4.831245e-006,-0.0036
-4.830745e-006,-0.00393333
-4.830245e-006,-0.0036
-4.829745e-006,-0.00326667
-4.829245e-006,-0.0036
-4.828745e-006,-0.00426667
-4.828245e-006,-0.00393333
-4.827745e-006,-0.00393333
-4.827245e-006,-0.0036
-4.826745e-006,-0.00426667
-4.826245e-006,-0.00393333
-4.825745e-006,-0.0036
-4.825245e-006,-0.00326667
-4.824745e-006,-0.00426667
-4.824245e-006,-0.0036
-4.823745e-006,-0.0036
-4.823245e-006,-0.0036
-4.822745e-006,-0.0036
-4.822245e-006,-0.0036
-4.821745e-006,-0.00326667
-4.821245e-006,-0.00293333
-4.820745e-006,-0.0036
-4.820245e-006,-0.0036
-4.819745e-006,-0.00326667
-4.819245e-006,-0.00326667
-4.818745e-006,-0.0036
-4.818245e-006,-0.0036
-4.817745e-006,-0.0036
-4.817245e-006,-0.00326667
-4.816745e-006,-0.0036
-4.816245e-006,-0.0036
-4.815745e-006,-0.00293333
-4.815245e-006,-0.00293333
-4.814745e-006,-0.0036
-4.814245e-006,-0.0036
-4.813745e-006,-0.00326667
-4.813245e-006,-0.00326667
-4.812745e-006,-0.00326667
-4.812245e-006,-0.00326667
-4.811745e-006,-0.00293333
-4.811245e-006,-0.00293333
-4.810745e-006,-0.00293333
-4.810245e-006,-0.00293333
-4.809745e-006,-0.00293333
-4.809245e-006,-0.0026
-4.808745e-006,-0.00326667
-4.808245e-006,-0.0036
-4.807745e-006,-0.0036
-4.807245e-006,-0.00326667
-4.806745e-006,-0.00293333
-4.806245e-006,-0.00326667
-4.805745e-006,-0.00293333
-4.805245e-006,-0.0026
-4.804745e-006,-0.00293333
-4.804245e-006,-0.00326667
-4.803745e-006,-0.00326667
-4.803245e-006,-0.0026
-4.802745e-006,-0.00293333
-4.802245e-006,-0.0026
-4.801745e-006,-0.00293333
-4.801245e-006,-0.0026
-4.800745e-006,-0.00226667
-4.800245e-006,-0.0026
-4.799745e-006,-0.00226667
-4.799245e-006,-0.00226667
-4.798745e-006,-0.00226667
-4.798245e-006,-0.00293333
-4.797745e-006,-0.00293333
-4.797245e-006,-0.00293333
-4.796745e-006,-0.0026
-4.796245e-006,-0.00326667
-4.795745e-006,-0.0026
-4.795245e-006,-0.00226667
-4.794745e-006,-0.00193333
-4.794245e-006,-0.00293333
-4.793745e-006,-0.0026
-4.793245e-006,-0.0026
-4.792745e-006,-0.0026
-4.792245e-006,-0.0026
-4.791745e-006,-0.0026
-4.791245e-006,-0.00226667
-4.790745e-006,-0.00193333
-4.790245e-006,-0.00226667
-4.789745e-006,-0.00226667
-4.789245e-006,-0.00193333
-4.788745e-006,-0.00193333
-4.788245e-006,-0.00193333
-4.787745e-006,-0.00293333
-4.787245e-006,-0.00193333
-4.786745e-006,-0.00226667
-4.786245e-006,-0.00193333
-4.785745e-006,-0.0026
-4.785245e-006,-0.0016
-4.784745e-006,-0.00193333
-4.784245e-006,-0.00226667
-4.783745e-006,-0.00293333
-4.783245e-006,-0.0016
-4.782745e-006,-0.00226667
-4.782245e-006,-0.0016
-4.781745e-006,-0.00193333
-4.781245e-006,-0.0016
-4.780745e-006,-0.0016
-4.780245e-006,-0.0016
-4.779745e-006,-0.00226667
-4.779245e-006,-0.0016
-4.778745e-006,-0.0016
-4.778245e-006,-0.0016
-4.777745e-006,-0.00226667
