LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,29-Nov-2016 16:06:25,0                 
Time,Ampl
-5.0025e-007,0.0233333
-4.9975e-007,0.0233333
-4.9925e-007,0.0233333
-4.9875e-007,0.0233333
-4.9825e-007,0.0233333
-4.9775e-007,0.03
-4.9725e-007,0.0433333
-4.9675e-007,0.03
-4.9625e-007,0.0433333
-4.9575e-007,0.05
-4.9525e-007,0.0433333
-4.9475e-007,0.05
-4.9425e-007,0.0566667
-4.9375e-007,0.05
-4.9325e-007,0.0633333
-4.9275e-007,0.0566667
-4.9225e-007,0.0633333
-4.9175e-007,0.0633333
-4.9125e-007,0.07
-4.9075e-007,0.0633333
-4.9025e-007,0.0633333
-4.8975e-007,0.0633333
-4.8925e-007,0.0633333
-4.8875e-007,0.0633333
-4.8825e-007,0.0633333
-4.8775e-007,0.0633333
-4.8725e-007,0.0766667
-4.8675e-007,0.07
-4.8625e-007,0.0766667
-4.8575e-007,0.0766667
-4.8525e-007,0.0766667
-4.8475e-007,0.0766667
-4.8425e-007,0.0833333
-4.8375e-007,0.0766667
-4.8325e-007,0.09
-4.8275e-007,0.0833333
-4.8225e-007,0.09
-4.8175e-007,0.0833333
-4.8125e-007,0.09
-4.8075e-007,0.0833333
-4.8025e-007,0.0766667
-4.7975e-007,0.0766667
-4.7925e-007,0.0833333
-4.7875e-007,0.0766667
-4.7825e-007,0.0833333
-4.7775e-007,0.0766667
-4.7725e-007,0.0833333
-4.7675e-007,0.0766667
-4.7625e-007,0.0833333
-4.7575e-007,0.0833333
-4.7525e-007,0.0833333
-4.7475e-007,0.0766667
-4.7425e-007,0.0833333
-4.7375e-007,0.0766667
-4.7325e-007,0.0833333
-4.7275e-007,0.0766667
-4.7225e-007,0.0833333
-4.7175e-007,0.0766667
-4.7125e-007,0.0766667
-4.7075e-007,0.0766667
-4.7025e-007,0.0633333
-4.6975e-007,0.0633333
-4.6925e-007,0.0633333
-4.6875e-007,0.05
-4.6825e-007,0.0566667
-4.6775e-007,0.05
-4.6725e-007,0.0566667
-4.6675e-007,0.0566667
-4.6625e-007,0.05
-4.6575e-007,0.0566667
-4.6525e-007,0.0566667
-4.6475e-007,0.0566667
-4.6425e-007,0.0566667
-4.6375e-007,0.05
-4.6325e-007,0.0566667
-4.6275e-007,0.05
-4.6225e-007,0.0433333
-4.6175e-007,0.0433333
-4.6125e-007,0.0366667
-4.6075e-007,0.0366667
-4.6025e-007,0.0366667
-4.5975e-007,0.0233333
-4.5925e-007,0.0233333
-4.5875e-007,0.0166667
-4.5825e-007,0.0166667
-4.5775e-007,0.01
-4.5725e-007,0.01
-4.5675e-007,0.01
-4.5625e-007,0.01
-4.5575e-007,0.00333333
-4.5525e-007,0.01
-4.5475e-007,0.00333333
