LECROYWS3054,13845,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,30-Nov-2016 16:28:51,0                 
Time,Ampl
-5.0002e-006,0.005
-4.9997e-006,0.00233333
-4.9992e-006,-0.00166667
-4.9987e-006,0.001
-4.9982e-006,0.00233333
-4.9977e-006,0.00366667
-4.9972e-006,0.00366667
-4.9967e-006,0.00633333
-4.9962e-006,0.0116667
-4.9957e-006,0.015
-4.9952e-006,0.011
-4.9947e-006,0.011
-4.9942e-006,0.0116667
-4.9937e-006,0.013
-4.9932e-006,0.0103333
-4.9927e-006,0.00833333
-4.9922e-006,0.0103333
-4.9917e-006,0.00966667
-4.9912e-006,0.007
-4.9907e-006,0.00366667
-4.9902e-006,0.007
-4.9897e-006,0.00766667
-4.9892e-006,0.003
-4.9887e-006,0.005
-4.9882e-006,0.00566667
-4.9877e-006,0.009
-4.9872e-006,0.009
-4.9867e-006,0.011
-4.9862e-006,0.0163333
-4.9857e-006,0.0196667
-4.9852e-006,0.019
-4.9847e-006,0.0163333
-4.9842e-006,0.0183333
-4.9837e-006,0.0176667
-4.9832e-006,0.0176667
-4.9827e-006,0.015
-4.9822e-006,0.015
-4.9817e-006,0.0156667
-4.9812e-006,0.0136667
-4.9807e-006,0.00966667
-4.9802e-006,0.00766667
-4.9797e-006,0.011
-4.9792e-006,0.00766667
-4.9787e-006,0.00566667
-4.9782e-006,0.00766667
-4.9777e-006,0.009
-4.9772e-006,0.0103333
-4.9767e-006,0.011
-4.9762e-006,0.0143333
-4.9757e-006,0.019
-4.9752e-006,0.019
-4.9747e-006,0.0156667
-4.9742e-006,0.017
-4.9737e-006,0.0176667
-4.9732e-006,0.017
-4.9727e-006,0.0143333
-4.9722e-006,0.0136667
-4.9717e-006,0.0143333
-4.9712e-006,0.0116667
-4.9707e-006,0.00833333
-4.9702e-006,0.005
-4.9697e-006,0.00833333
-4.9692e-006,0.00766667
-4.9687e-006,0.00366667
-4.9682e-006,0.00566667
-4.9677e-006,0.00633333
-4.9672e-006,0.00766667
-4.9667e-006,0.007
-4.9662e-006,0.00833333
-4.9657e-006,0.013
-4.9652e-006,0.015
